Protocol name: qPCR + HRM Melt
Cycle, Time, Temp, Sensor1, Sensor2, Sensor3, Sensor4, Sensor5, Sensor6, Sensor7, Sensor8
1, 1, 95.1, 2500, 2520, 2490, 2510, 2505, 2515, 2495, 2500
1, 31, 60.2, 2505, 2510, 2500, 2505, 2510, 2500, 2510, 2505
1, 61, 72.0, 2510, 2520, 2500, 2515, 2510, 2520, 2500, 2515
2, 91, 95.0, 2515, 2525, 2505, 2520, 2515, 2525, 2505, 2520
2, 121, 60.1, 2520, 2530, 2510, 2525, 2520, 2530, 2510, 2525
2, 151, 72.1, 2525, 2535, 2515, 2530, 2525, 2535, 2515, 2530
3, 181, 95.1, 2530, 2540, 2520, 2535, 2530, 2540, 2520, 2535
3, 211, 60.0, 2535, 2545, 2525, 2540, 2535, 2545, 2525, 2540
3, 241, 72.0, 2540, 2550, 2530, 2545, 2540, 2550, 2530, 2545
4, 271, 95.0, 2545, 2555, 2535, 2550, 2545, 2555, 2535, 2550
4, 301, 60.1, 2550, 2560, 2540, 2555, 2550, 2560, 2540, 2555
4, 331, 72.1, 2555, 2565, 2545, 2560, 2555, 2565, 2545, 2560
5, 361, 95.1, 2560, 2570, 2550, 2565, 2560, 2570, 2550, 2565
5, 391, 60.0, 2565, 2575, 2555, 2570, 2565, 2575, 2555, 2570
5, 421, 72.0, 2570, 2580, 2560, 2575, 2570, 2580, 2560, 2575
6, 451, 65.0, 14200, 14150, 14300, 14250, 14180, 14220, 14280, 14200
6, 453, 65.2, 14180, 14130, 14280, 14230, 14160, 14200, 14260, 14180
6, 455, 65.4, 14150, 14100, 14250, 14200, 14130, 14170, 14230, 14150
6, 457, 65.6, 14100, 14050, 14200, 14150, 14080, 14120, 14180, 14100
6, 459, 65.8, 14050, 14000, 14150, 14100, 14030, 14070, 14130, 14050
6, 461, 66.0, 13980, 13930, 14080, 14030, 13960, 14000, 14060, 13980
6, 463, 66.2, 13900, 13850, 14000, 13950, 13880, 13920, 13980, 13900
6, 465, 66.4, 13820, 13770, 13920, 13870, 13800, 13840, 13900, 13820
6, 467, 66.6, 13730, 13680, 13830, 13780, 13710, 13750, 13810, 13730
6, 469, 66.8, 13630, 13580, 13730, 13680, 13610, 13650, 13710, 13630
6, 471, 67.0, 13520, 13470, 13620, 13570, 13500, 13540, 13600, 13520
6, 473, 67.2, 13400, 13350, 13500, 13450, 13380, 13420, 13480, 13400
6, 475, 67.4, 13280, 13230, 13380, 13330, 13260, 13300, 13360, 13280
6, 477, 67.6, 13150, 13100, 13250, 13200, 13130, 13170, 13230, 13150
6, 479, 67.8, 13020, 12970, 13120, 13070, 13000, 13040, 13100, 13020
6, 481, 68.0, 12880, 12830, 12980, 12930, 12860, 12900, 12960, 12880
6, 483, 68.2, 12730, 12680, 12830, 12780, 12710, 12750, 12810, 12730
6, 485, 68.4, 12580, 12530, 12680, 12630, 12560, 12600, 12660, 12580
6, 487, 68.6, 12420, 12370, 12520, 12470, 12400, 12440, 12500, 12420
6, 489, 68.8, 12260, 12210, 12360, 12310, 12240, 12280, 12340, 12260
6, 491, 69.0, 12100, 12050, 12200, 12150, 12080, 12120, 12180, 12100
6, 493, 69.2, 11940, 11890, 12040, 11990, 11920, 11960, 12020, 11940
6, 495, 69.4, 11780, 11730, 11880, 11830, 11760, 11800, 11860, 11780
6, 497, 69.6, 11620, 11570, 11720, 11670, 11600, 11640, 11700, 11620
6, 499, 69.8, 11460, 11410, 11560, 11510, 11440, 11480, 11540, 11460
6, 501, 70.0, 11300, 11250, 11400, 11350, 11280, 11320, 11380, 11300
6, 503, 70.2, 11140, 11090, 11240, 11190, 11120, 11160, 11220, 11140
6, 505, 70.4, 10980, 10930, 11080, 11030, 10960, 11000, 11060, 10980
6, 507, 70.6, 10820, 10770, 10920, 10870, 10800, 10840, 10900, 10820
6, 509, 70.8, 10660, 10610, 10760, 10710, 10640, 10680, 10740, 10660
6, 511, 71.0, 10500, 10450, 10600, 10550, 10480, 10520, 10580, 10500
6, 513, 71.2, 10340, 10290, 10440, 10390, 10320, 10360, 10420, 10340
6, 515, 71.4, 10180, 10130, 10280, 10230, 10160, 10200, 10260, 10180
6, 517, 71.6, 10020, 9970, 10120, 10070, 10000, 10040, 10100, 10020
6, 519, 71.8, 9860, 9810, 9960, 9910, 9840, 9880, 9940, 9860
6, 521, 72.0, 9700, 9650, 9800, 9750, 9680, 9720, 9780, 9700
6, 523, 72.2, 9540, 9490, 9640, 9590, 9520, 9560, 9620, 9540
6, 525, 72.4, 9380, 9330, 9480, 9430, 9360, 9400, 9460, 9380
6, 527, 72.6, 9220, 9170, 9320, 9270, 9200, 9240, 9300, 9220
6, 529, 72.8, 9060, 9010, 9160, 9110, 9040, 9080, 9140, 9060
6, 531, 73.0, 8900, 8850, 9000, 8950, 8880, 8920, 8980, 8900
6, 533, 73.2, 8740, 8690, 8840, 8790, 8720, 8760, 8820, 8740
6, 535, 73.4, 8580, 8530, 8680, 8630, 8560, 8600, 8660, 8580
6, 537, 73.6, 8420, 8370, 8520, 8470, 8400, 8440, 8500, 8420
6, 539, 73.8, 8260, 8210, 8360, 8310, 8240, 8280, 8340, 8260
6, 541, 74.0, 8100, 8050, 8200, 8150, 8080, 8120, 8180, 8100
6, 543, 74.2, 7940, 7890, 8040, 7990, 7920, 7960, 8020, 7940
6, 545, 74.4, 7780, 7730, 7880, 7830, 7760, 7800, 7860, 7780
6, 547, 74.6, 7620, 7570, 7720, 7670, 7600, 7640, 7700, 7620
6, 549, 74.8, 7460, 7410, 7560, 7510, 7440, 7480, 7540, 7460
6, 551, 75.0, 7300, 7250, 7400, 7350, 7280, 7320, 7380, 7300
6, 553, 75.2, 7140, 7090, 7240, 7190, 7120, 7160, 7220, 7140
6, 555, 75.4, 6980, 6930, 7080, 7030, 6960, 7000, 7060, 6980
6, 557, 75.6, 6820, 6770, 6920, 6870, 6800, 6840, 6900, 6820
6, 559, 75.8, 6660, 6610, 6760, 6710, 6640, 6680, 6740, 6660
6, 561, 76.0, 6500, 6450, 6600, 6550, 6480, 6520, 6580, 6500
6, 563, 76.2, 6340, 6290, 6440, 6390, 6320, 6360, 6420, 6340
6, 565, 76.4, 6180, 6130, 6280, 6230, 6160, 6200, 6260, 6180
6, 567, 76.6, 6020, 5970, 6120, 6070, 6000, 6040, 6100, 6020
6, 569, 76.8, 5860, 5810, 5960, 5910, 5840, 5880, 5940, 5860
6, 571, 77.0, 5700, 5650, 5800, 5750, 5680, 5720, 5780, 5700
6, 573, 77.2, 5540, 5490, 5640, 5590, 5520, 5560, 5620, 5540
6, 575, 77.4, 5380, 5330, 5480, 5430, 5360, 5400, 5460, 5380
6, 577, 77.6, 5220, 5170, 5320, 5270, 5200, 5240, 5300, 5220
6, 579, 77.8, 5060, 5010, 5160, 5110, 5040, 5080, 5140, 5060
6, 581, 78.0, 4900, 4850, 5000, 4950, 4880, 4920, 4980, 4900
6, 583, 78.2, 4740, 4690, 4840, 4790, 4720, 4760, 4820, 4740
6, 585, 78.4, 4580, 4530, 4680, 4630, 4560, 4600, 4660, 4580
6, 587, 78.6, 4420, 4370, 4520, 4470, 4400, 4440, 4500, 4420
6, 589, 78.8, 4260, 4210, 4360, 4310, 4240, 4280, 4340, 4260
6, 591, 79.0, 4100, 4050, 4200, 4150, 4080, 4120, 4180, 4100
6, 593, 79.2, 3940, 3890, 4040, 3990, 3920, 3960, 4020, 3940
6, 595, 79.4, 3780, 3730, 3880, 3830, 3760, 3800, 3860, 3780
6, 597, 79.6, 3620, 3570, 3720, 3670, 3600, 3640, 3700, 3620
6, 599, 79.8, 3460, 3410, 3560, 3510, 3440, 3480, 3540, 3460
6, 601, 80.0, 3300, 3250, 3400, 3350, 3280, 3320, 3380, 3300
6, 603, 80.2, 3140, 3090, 3240, 3190, 3120, 3160, 3220, 3140
6, 605, 80.4, 2980, 2930, 3080, 3030, 2960, 3000, 3060, 2980
6, 607, 80.6, 2820, 2770, 2920, 2870, 2800, 2840, 2900, 2820
6, 609, 80.8, 2660, 2610, 2760, 2710, 2640, 2680, 2740, 2660
6, 611, 81.0, 2500, 2450, 2600, 2550, 2480, 2520, 2580, 2500
6, 613, 81.2, 2340, 2290, 2440, 2390, 2320, 2360, 2420, 2340
6, 615, 81.4, 2180, 2130, 2280, 2230, 2160, 2200, 2260, 2180
6, 617, 81.6, 2020, 1970, 2120, 2070, 2000, 2040, 2100, 2020
6, 619, 81.8, 1860, 1810, 1960, 1910, 1840, 1880, 1940, 1860
6, 621, 82.0, 1700, 1650, 1800, 1750, 1680, 1720, 1780, 1700
6, 623, 82.2, 1540, 1490, 1640, 1590, 1520, 1560, 1620, 1540
6, 625, 82.4, 1380, 1330, 1480, 1430, 1360, 1400, 1460, 1380
6, 627, 82.6, 1220, 1170, 1320, 1270, 1200, 1240, 1300, 1220
6, 629, 82.8, 1060, 1010, 1160, 1110, 1040, 1080, 1140, 1060
6, 631, 83.0, 900, 850, 1000, 950, 880, 920, 980, 900
6, 633, 83.2, 740, 690, 840, 790, 720, 760, 820, 740
6, 635, 83.4, 580, 530, 680, 630, 560, 600, 660, 580
6, 637, 83.6, 520, 490, 560, 530, 500, 510, 550, 520
6, 639, 83.8, 490, 470, 510, 500, 480, 490, 500, 490
6, 641, 84.0, 470, 460, 480, 475, 465, 470, 480, 470
6, 643, 84.2, 460, 455, 470, 465, 458, 462, 468, 460
6, 645, 84.4, 455, 450, 465, 460, 453, 457, 463, 455
6, 647, 84.6, 450, 448, 460, 456, 450, 452, 458, 450
6, 649, 84.8, 448, 446, 456, 453, 448, 450, 455, 448
6, 651, 85.0, 446, 444, 454, 451, 446, 448, 453, 446
6, 653, 85.2, 444, 443, 452, 450, 445, 447, 451, 444
6, 655, 85.4, 443, 442, 450, 448, 444, 446, 450, 443
6, 657, 85.6, 442, 441, 449, 447, 443, 445, 449, 442
6, 659, 85.8, 441, 440, 448, 446, 442, 444, 448, 441
6, 661, 86.0, 440, 439, 447, 445, 441, 443, 447, 440
6, 663, 86.2, 440, 439, 446, 444, 441, 442, 446, 440
6, 665, 86.4, 439, 438, 445, 444, 440, 442, 445, 439
6, 667, 86.6, 439, 438, 445, 443, 440, 441, 445, 439
6, 669, 86.8, 438, 437, 444, 443, 439, 441, 444, 438
6, 671, 87.0, 438, 437, 444, 443, 439, 440, 444, 438
6, 673, 87.2, 438, 437, 443, 442, 439, 440, 443, 438
6, 675, 87.4, 437, 436, 443, 442, 438, 440, 443, 437
6, 677, 87.6, 437, 436, 443, 442, 438, 439, 443, 437
6, 679, 87.8, 437, 436, 442, 441, 438, 439, 442, 437
6, 681, 88.0, 437, 436, 442, 441, 438, 439, 442, 437
