Protocol name: Standard qPCR
Cycle, Time, Temp, Sensor1, Sensor2, Sensor3, Sensor4, Sensor5, Sensor6, Sensor7, Sensor8
1, 1, 95.1, 2500, 2520, 2490, 2510, 2505, 2515, 2495, 2500
1, 31, 60.2, 2505, 2510, 2500, 2505, 2510, 2500, 2510, 2505
1, 61, 72.0, 2510, 2520, 2500, 2515, 2510, 2520, 2500, 2515
2, 91, 95.0, 2515, 2525, 2505, 2520, 2515, 2525, 2505, 2520
2, 121, 60.1, 2520, 2530, 2510, 2525, 2520, 2530, 2510, 2525
2, 151, 72.1, 2525, 2535, 2515, 2530, 2525, 2535, 2515, 2530
3, 181, 95.1, 2530, 2540, 2520, 2535, 2530, 2540, 2520, 2535
3, 211, 60.0, 2535, 2545, 2525, 2540, 2535, 2545, 2525, 2540
3, 241, 72.0, 2540, 2550, 2530, 2545, 2540, 2550, 2530, 2545
4, 271, 95.0, 2545, 2555, 2535, 2550, 2545, 2555, 2535, 2550
4, 301, 60.1, 2550, 2560, 2540, 2555, 2550, 2560, 2540, 2555
4, 331, 72.1, 2555, 2565, 2545, 2560, 2555, 2565, 2545, 2560
5, 361, 95.1, 2560, 2570, 2550, 2565, 2560, 2570, 2550, 2565
5, 391, 60.0, 2565, 2575, 2555, 2570, 2565, 2575, 2555, 2570
5, 421, 72.0, 2570, 2580, 2560, 2575, 2570, 2580, 2560, 2575
