Protocol name: HRM Melt Only
Cycle, Time, Temp, Sensor1, Sensor2, Sensor3, Sensor4, Sensor5, Sensor6, Sensor7, Sensor8
6, 1, 65.0, 14200, 14150, 14300, 14250, 14180, 14220, 14280, 14200
6, 3, 65.2, 14180, 14130, 14280, 14230, 14160, 14200, 14260, 14180
6, 5, 65.4, 14150, 14100, 14250, 14200, 14130, 14170, 14230, 14150
6, 7, 65.6, 14100, 14050, 14200, 14150, 14080, 14120, 14180, 14100
6, 9, 65.8, 14050, 14000, 14150, 14100, 14030, 14070, 14130, 14050
6, 11, 66.0, 13980, 13930, 14080, 14030, 13960, 14000, 14060, 13980
6, 13, 66.2, 13900, 13850, 14000, 13950, 13880, 13920, 13980, 13900
6, 15, 66.4, 13820, 13770, 13920, 13870, 13800, 13840, 13900, 13820
6, 17, 66.6, 13730, 13680, 13830, 13780, 13710, 13750, 13810, 13730
6, 19, 66.8, 13630, 13580, 13730, 13680, 13610, 13650, 13710, 13630
6, 21, 67.0, 13520, 13470, 13620, 13570, 13500, 13540, 13600, 13520
6, 23, 67.2, 13400, 13350, 13500, 13450, 13380, 13420, 13480, 13400
6, 25, 67.4, 13280, 13230, 13380, 13330, 13260, 13300, 13360, 13280
6, 27, 67.6, 13150, 13100, 13250, 13200, 13130, 13170, 13230, 13150
6, 29, 67.8, 13020, 12970, 13120, 13070, 13000, 13040, 13100, 13020
6, 31, 68.0, 12880, 12830, 12980, 12930, 12860, 12900, 12960, 12880
6, 33, 68.2, 12730, 12680, 12830, 12780, 12710, 12750, 12810, 12730
6, 35, 68.4, 12580, 12530, 12680, 12630, 12560, 12600, 12660, 12580
6, 37, 68.6, 12420, 12370, 12520, 12470, 12400, 12440, 12500, 12420
6, 39, 68.8, 12260, 12210, 12360, 12310, 12240, 12280, 12340, 12260
6, 41, 69.0, 12100, 12050, 12200, 12150, 12080, 12120, 12180, 12100
6, 43, 69.2, 11940, 11890, 12040, 11990, 11920, 11960, 12020, 11940
6, 45, 69.4, 11780, 11730, 11880, 11830, 11760, 11800, 11860, 11780
6, 47, 69.6, 11620, 11570, 11720, 11670, 11600, 11640, 11700, 11620
6, 49, 69.8, 11460, 11410, 11560, 11510, 11440, 11480, 11540, 11460
6, 51, 70.0, 11300, 11250, 11400, 11350, 11280, 11320, 11380, 11300
6, 53, 70.2, 11140, 11090, 11240, 11190, 11120, 11160, 11220, 11140
6, 55, 70.4, 10980, 10930, 11080, 11030, 10960, 11000, 11060, 10980
6, 57, 70.6, 10820, 10770, 10920, 10870, 10800, 10840, 10900, 10820
6, 59, 70.8, 10660, 10610, 10760, 10710, 10640, 10680, 10740, 10660
6, 61, 71.0, 10500, 10450, 10600, 10550, 10480, 10520, 10580, 10500
6, 63, 71.2, 10340, 10290, 10440, 10390, 10320, 10360, 10420, 10340
6, 65, 71.4, 10180, 10130, 10280, 10230, 10160, 10200, 10260, 10180
6, 67, 71.6, 10020, 9970, 10120, 10070, 10000, 10040, 10100, 10020
6, 69, 71.8, 9860, 9810, 9960, 9910, 9840, 9880, 9940, 9860
6, 71, 72.0, 9700, 9650, 9800, 9750, 9680, 9720, 9780, 9700
6, 73, 72.2, 9540, 9490, 9640, 9590, 9520, 9560, 9620, 9540
6, 75, 72.4, 9380, 9330, 9480, 9430, 9360, 9400, 9460, 9380
6, 77, 72.6, 9220, 9170, 9320, 9270, 9200, 9240, 9300, 9220
6, 79, 72.8, 9060, 9010, 9160, 9110, 9040, 9080, 9140, 9060
6, 81, 73.0, 8900, 8850, 9000, 8950, 8880, 8920, 8980, 8900
6, 83, 73.2, 8740, 8690, 8840, 8790, 8720, 8760, 8820, 8740
6, 85, 73.4, 8580, 8530, 8680, 8630, 8560, 8600, 8660, 8580
6, 87, 73.6, 8420, 8370, 8520, 8470, 8400, 8440, 8500, 8420
6, 89, 73.8, 8260, 8210, 8360, 8310, 8240, 8280, 8340, 8260
6, 91, 74.0, 8100, 8050, 8200, 8150, 8080, 8120, 8180, 8100
6, 93, 74.2, 7940, 7890, 8040, 7990, 7920, 7960, 8020, 7940
6, 95, 74.4, 7780, 7730, 7880, 7830, 7760, 7800, 7860, 7780
6, 97, 74.6, 7620, 7570, 7720, 7670, 7600, 7640, 7700, 7620
6, 99, 74.8, 7460, 7410, 7560, 7510, 7440, 7480, 7540, 7460
6, 101, 75.0, 7300, 7250, 7400, 7350, 7280, 7320, 7380, 7300
6, 103, 75.2, 7140, 7090, 7240, 7190, 7120, 7160, 7220, 7140
6, 105, 75.4, 6980, 6930, 7080, 7030, 6960, 7000, 7060, 6980
6, 107, 75.6, 6820, 6770, 6920, 6870, 6800, 6840, 6900, 6820
6, 109, 75.8, 6660, 6610, 6760, 6710, 6640, 6680, 6740, 6660
6, 111, 76.0, 6500, 6450, 6600, 6550, 6480, 6520, 6580, 6500
6, 113, 76.2, 6340, 6290, 6440, 6390, 6320, 6360, 6420, 6340
6, 115, 76.4, 6180, 6130, 6280, 6230, 6160, 6200, 6260, 6180
6, 117, 76.6, 6020, 5970, 6120, 6070, 6000, 6040, 6100, 6020
6, 119, 76.8, 5860, 5810, 5960, 5910, 5840, 5880, 5940, 5860
6, 121, 77.0, 5700, 5650, 5800, 5750, 5680, 5720, 5780, 5700
6, 123, 77.2, 5540, 5490, 5640, 5590, 5520, 5560, 5620, 5540
6, 125, 77.4, 5380, 5330, 5480, 5430, 5360, 5400, 5460, 5380
6, 127, 77.6, 5220, 5170, 5320, 5270, 5200, 5240, 5300, 5220
6, 129, 77.8, 5060, 5010, 5160, 5110, 5040, 5080, 5140, 5060
6, 131, 78.0, 4900, 4850, 5000, 4950, 4880, 4920, 4980, 4900
6, 133, 78.2, 4740, 4690, 4840, 4790, 4720, 4760, 4820, 4740
6, 135, 78.4, 4580, 4530, 4680, 4630, 4560, 4600, 4660, 4580
6, 137, 78.6, 4420, 4370, 4520, 4470, 4400, 4440, 4500, 4420
6, 139, 78.8, 4260, 4210, 4360, 4310, 4240, 4280, 4340, 4260
6, 141, 79.0, 4100, 4050, 4200, 4150, 4080, 4120, 4180, 4100
6, 143, 79.2, 3940, 3890, 4040, 3990, 3920, 3960, 4020, 3940
